summary_level	dataset	broad_state	record_count	fallback_count	celltype_specific_count	source_file	source_sha256	notes
by_state	GSE214411	Lymphoid	13	0	13	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE214411	Myeloid	13	0	13	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE214411	Stroma	13	0	13	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE250130	Decidual_Stroma	28	0	28	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE250130	Endothelial	28	0	28	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE250130	Glandular_Epi	28	0	28	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE250130	Luminal_Epi	28	0	28	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE250130	Lymphoid	28	0	28	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE250130	Myeloid	28	0	28	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_state	GSE250130	Stroma	28	0	28	source_data/heca/S21_fallback_by_state.tsv	8c22e313d332c9dff45d81fe17be49afb7bacb7a81bead7ab4ecd0a0c2872992	All 833 recovered sample × broad-state records used cell-state-specific fertile calibration; no global-fertile fallback was required.
by_dataset	GSE179640	ALL_STATES	231	0	231	source_data/heca/S21_fallback_by_dataset.tsv	f7e6d1501c9a2505e6290f503aacba600911b56dee768f5aed0537bab79ed36f	Dataset summary of the same recovered records.
by_dataset	GSE213216	ALL_STATES	315	0	315	source_data/heca/S21_fallback_by_dataset.tsv	f7e6d1501c9a2505e6290f503aacba600911b56dee768f5aed0537bab79ed36f	Dataset summary of the same recovered records.
by_dataset	GSE214411	ALL_STATES	91	0	91	source_data/heca/S21_fallback_by_dataset.tsv	f7e6d1501c9a2505e6290f503aacba600911b56dee768f5aed0537bab79ed36f	Dataset summary of the same recovered records.
by_dataset	GSE250130	ALL_STATES	196	0	196	source_data/heca/S21_fallback_by_dataset.tsv	f7e6d1501c9a2505e6290f503aacba600911b56dee768f5aed0537bab79ed36f	Dataset summary of the same recovered records.
